product_id,Date,store_id,Sales Quantity,Price_x,Promotions,Seasonality Factors,External Factors,Demand Trend,Customer Segments,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Price_y,Competitor Prices,Discounts,Sales Volume,Customer Reviews,Return Rate (%),Storage Cost,Elasticity Index
1003,N/A,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.08,61.31,29.1,383,2,10.67,1.92,1.81
1004,N/A,89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,998,3,18,193,5/5/2024,4460,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,116,15,6,31,7/8/2024,1665,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005,N/A,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,16,8,99,6/17/2024,3574,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005,5/25/2024,97,245,97.76,Yes,Festival,Weather,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1006,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.5,49.12,31.76,6,3,2.13,9.52,0.78
1006,N/A,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.31,78.64,33.73,163,4,5.06,8.59,0.62
1006,2/6/2024,83,137,91.08,Yes,Festival,N/A,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1007,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.66,24.95,8.18,125,1,14.43,5.13,1.67
1007,N/A,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.5,99.3,11.78,346,3,14.44,6.4,0.7
1007,3/27/2024,86,459,19.66,Yes,N/A,N/A,Increasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,1/21/2024,6,326,8.03,Yes,Festival,Economic Indicator,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,N/A,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265,22,4,144,7/19/2024,3388,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,10/15/2024,17,296,64.28,Yes,N/A,Economic Indicator,Increasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,N/A,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,951,10,7,115,10/16/2024,4845,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,7/25/2024,62,490,22.86,No,Holiday,Economic Indicator,Decreasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,N/A,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,483,23,3,28,2/22/2024,2769,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,7/19/2024,87,300,26.55,Yes,N/A,Economic Indicator,Decreasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,6/29/2024,89,108,25.93,Yes,Festival,Economic Indicator,Decreasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1008,N/A,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.59,25.76,46.78,385,1,0.33,2.43,0.52
1009,12/27/2024,39,51,99.64,Yes,Holiday,N/A,Increasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009,5/11/2024,61,186,7.27,No,Holiday,Weather,Decreasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009,N/A,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,625,3,0,55,3/31/2024,4668,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009,N/A,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,181,23,12,135,7/27/2024,4865,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1009,7/28/2024,86,15,41.91,No,N/A,N/A,Increasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010,7/13/2024,59,78,76.46,No,Holiday,Weather,Decreasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010,N/A,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,899,2,15,71,2/9/2024,1259,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1010,N/A,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,971,23,18,130,6/27/2024,1552,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1011,N/A,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.14,21.41,2.01,252,1,8.64,8.32,1.67
1012,N/A,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,26,17,99,4/12/2024,2868,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1012,N/A,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.63,35.45,46.77,13,4,10.19,1.94,2.28
1012,N/A,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.55,31.9,11.46,438,2,0.72,9.59,1.68
1012,N/A,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,870,22,15,98,7/28/2024,2922,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1013,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.3,10.06,20.37,186,1,12.18,9.1,1.29
1013,N/A,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,519,7,10,37,8/11/2024,4975,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1013,2/15/2024,86,210,13.95,No,Festival,Competitor Pricing,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1013,3/21/2024,96,463,91.34,Yes,Festival,N/A,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1014,N/A,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.56,49.49,35.45,379,1,4.54,2.89,0.83
1014,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,407,7,1,161,6/5/2024,3288,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1014,N/A,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.75,12.49,15.93,478,2,13.62,2.04,1.9
1014,12/23/2024,65,482,61.1,No,Festival,Weather,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1014,N/A,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.25,15.61,23.25,29,3,11.58,9.73,1.01
1014,9/25/2024,97,140,85.6,No,Holiday,Competitor Pricing,Increasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1015,N/A,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,774,29,16,17,11/4/2024,2976,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1015,N/A,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,527,15,19,42,6/23/2024,2181,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1016,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.01,17.02,8.54,384,4,14.09,1.82,1.83
1016,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94.54,91,26.7,163,3,12.44,1.14,1.25
1016,N/A,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.32,43.99,12.27,6,2,13.95,7.37,2.07
1017,N/A,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,879,28,8,78,9/17/2024,1769,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1017,5/19/2024,31,228,11.45,No,Festival,Weather,Decreasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1017,7/14/2024,45,20,43.75,No,Holiday,N/A,Decreasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1017,N/A,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.37,54.31,3.78,62,2,17.13,6.52,2.21
1019,N/A,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.33,99.84,1.76,210,4,11.4,8.88,0.65
1019,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.04,23.26,25.71,192,1,6.52,3.68,2.02
1019,5/10/2024,45,294,22.82,Yes,N/A,Economic Indicator,Increasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1019,8/23/2024,51,274,8.87,No,Holiday,N/A,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1020,2/21/2024,23,195,55.18,No,N/A,Competitor Pricing,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1020,8/16/2024,63,134,80.49,No,Festival,Competitor Pricing,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1021,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.43,93.42,42.65,403,2,12.54,7.1,1.43
1021,6/5/2024,43,17,82.87,No,N/A,Competitor Pricing,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1021,7/30/2024,57,365,74.41,No,N/A,Competitor Pricing,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1022,N/A,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,394,12,17,71,11/8/2024,4514,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1023,3/9/2024,8,89,60.95,Yes,Festival,N/A,Increasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1023,N/A,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,831,8,11,128,6/3/2024,3456,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1023,N/A,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,186,18,7,186,7/21/2024,1533,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1024,6/7/2024,31,430,42.44,Yes,Festival,Economic Indicator,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1025,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.38,50.11,9.22,348,1,2.32,5.75,1.79
1025,N/A,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,721,16,16,199,9/23/2024,3877,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1025,N/A,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,506,1,11,63,10/8/2024,4772,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1025,N/A,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.18,77.67,19.85,64,2,5.31,4.96,1.12
1025,N/A,82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266,19,16,103,3/15/2024,2580,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1026,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.55,83.11,47.28,260,1,12.27,9.35,0.6
1026,N/A,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,586,18,19,11,8/2/2024,1707,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1027,N/A,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.52,46.17,5.34,262,4,1.43,2.8,0.5
1027,4/18/2024,28,226,75.71,Yes,Holiday,N/A,Stable,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1027,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,394,26,8,120,9/11/2024,3320,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1028,N/A,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.73,48.61,10.64,437,1,3.93,4.9,2.02
1028,N/A,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.85,85.85,18.5,373,1,15.65,2.13,0.8
1028,8/21/2024,51,203,74.26,Yes,Holiday,Weather,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1028,N/A,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.74,91.52,18.04,479,4,10.84,4.33,1.26
1028,N/A,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.06,32.28,44.74,344,2,15.42,7.1,1.91
1029,N/A,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.17,66.53,48.36,494,3,17.17,4.68,1.76
1030,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.74,19.36,26.74,343,2,16.45,3.31,1.84
1030,5/21/2024,42,416,46.13,No,Holiday,Weather,Increasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1030,9/27/2024,44,257,28.91,No,Holiday,Economic Indicator,Increasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1030,N/A,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,28,0,12,10/16/2024,1983,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1031,N/A,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,564,21,18,78,11/30/2024,3166,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1032,1/19/2024,8,215,16.74,Yes,Holiday,N/A,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1032,N/A,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.98,39.87,40.27,165,3,12.22,5.37,0.51
1032,N/A,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.65,30,1.81,188,3,6.39,8.17,1.38
1033,6/25/2024,45,296,29.45,No,N/A,Competitor Pricing,Decreasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1033,N/A,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.24,88.74,21.74,284,1,10.26,3.97,2.48
1034,10/17/2024,29,322,96,No,Holiday,Competitor Pricing,Decreasing,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1034,N/A,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,855,20,2,162,6/25/2024,3755,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1034,N/A,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.4,61.82,3.51,92,4,10.39,7.22,1.64
1035,4/14/2024,25,105,40.47,Yes,Holiday,Weather,Stable,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1035,N/A,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.59,52.34,26.83,60,1,14.34,3.18,2.25
1035,8/13/2024,43,143,76.66,Yes,N/A,Economic Indicator,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1035,N/A,47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.87,83.51,21.43,158,2,14.97,8.87,2.47
1035,N/A,49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.8,19.25,20.19,290,3,0.46,3.46,0.95
1035,N/A,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,862,16,11,59,11/28/2024,3970,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1035,11/10/2024,60,346,44.25,Yes,Holiday,Competitor Pricing,Stable,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1035,N/A,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,829,18,6,135,2/17/2024,4477,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1035,N/A,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,591,12,5,111,5/26/2024,3945,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1035,3/17/2024,94,301,88.29,Yes,Festival,Economic Indicator,Decreasing,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1036,N/A,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.77,15.92,30.95,60,2,1.2,7.48,1.52
1036,N/A,68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.35,61.97,1.73,158,4,17.92,5.12,2.19
1037,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.19,76.51,22.77,440,3,1.1,7.49,2.19
1038,N/A,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.42,37.05,44.37,54,2,8.48,1.39,1.83
1039,N/A,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.82,24.88,7.86,496,1,8.21,9.78,1.24
1040,N/A,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,10,13,28,11/13/2024,3470,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1040,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.28,19.91,17.71,240,2,16.07,9.92,1.81
1040,2/16/2024,52,163,26.04,No,Festival,N/A,Decreasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1041,N/A,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,298,10,18,81,11/27/2024,4540,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1041,4/14/2024,38,80,91.56,No,N/A,Weather,Stable,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1042,8/1/2024,32,240,64.28,Yes,N/A,N/A,Stable,Regular,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1042,N/A,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,586,3,5,138,1/20/2024,3884,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1042,N/A,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,284,28,4,99,12/3/2024,4788,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1043,11/21/2024,61,432,46.64,No,N/A,Economic Indicator,Stable,Budget,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1043,N/A,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.6,47.16,41.63,431,3,16.26,8.51,2.13
1044,N/A,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.97,76.68,37.67,24,2,18.47,1.82,2.28
1044,N/A,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,546,11,3,125,1/9/2024,3212,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1045,6/5/2024,5,320,44.14,No,N/A,N/A,Increasing,Premium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1045,N/A,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.69,30.55,48.61,207,4,15.04,5.25,0.65
